exercise	part	section	fen	turn	solutionSan	solutionUci	solutionText	whitePlayer	blackPlayer	event	year	game	bookPage	pdfPage
21	priyome	public-education	r2q1rk1/1b1nbppp/2p1pn2/p5B1/PpBPP3/5N2/NP2QPPP/R2R2K1 b - - 0 1	black	c5 dxc5 Nb6	c6c5 d4c5 d7b6	13...c5 First things first: Black gets rid of the backward pawn and opens the diagonal for the b7- bishop. 13...Re8 was played in the game. 14.dxc5 14.d5 exd5 15.exd5 Nb6–+ picks up the loose pawn. (The pin along the d-file yields nothing for White.) 14...Qc7µ The knight is misplaced on a2, and the e4-pawn is vulnerable.	Alekhine	Tarrasch	Hastings	1922	Alekhine – Tarrasch, Hastings 1922	42	42
22	priyome	public-education	r1b2rk1/pp3ppp/2n1pn2/3pN3/3P4/qP1B1N2/P1P2PPP/R2Q1RK1 b - - 0 1	black	Nb4 c3 Ne4 Re1 Nxc3 Qd2 Ne4 Re2 Nc6	c6b4 c2c3 f6e4 f1e1 e4c3 d1d2 c3e4 e1e2 b4c6	12...Nb4! Threatening to exchange White’s strong bishop. Capablanca’s 12...Bd7 should have been met by: 13.c3!² 13.Be2 Ne4! 14.Re1 Nc3 14...b6= is a way to avoid an early draw. 15.Qd2 Ne4!= Leading to a repetition. 15...Nxe2+?! 16.Rxe2 exchanges the bishop, but Black will then miss the knight that defended the kingside. White continues with c2-c3 and Nxc6 to play with knight against bishop. Jose Raul Capablanca “Chess is something more than a game. It is an intellectual diversion which has certain artistic qualities and many scientific elements.”	Bogoljubow	Capablanca	New York	1924	Bogoljubow – Capablanca, New York 1924	43	43
23	priyome	public-education	4rrk1/ppp2ppp/2nq4/2bnp3/2B2P2/P2P2Q1/1PP1N1PP/R1B2R1K w - - 0 1	white	f5 Nc3 Bf4 Qd7 Nxc3 Kh8 Bg5	f4f5 d5c3 c1f4 d6d7 e2c3 g8h8 f4g5	14.f5!± White gets the e4-square and an initiative on the kingside. 14.Bxd5?! was played. After 14...Qxd5 15.Nc3 Black can go for 15...exf4!? 16.Bxf4 Qd7 17.Bxc7 f5© with decent play for the pawn. 14...Nf6 15.Nc3 Kh8 16.Bg5 White is close to winning.	Alekhine	Dusek	Czechoslovakia (Simul)	1925	Alekhine – Dusek, Czechoslovakia (Simul) 1925	44	44
24	priyome	public-education	r2qk2r/p3b1pp/2p5/np1bpp2/8/2PP2N1/PPQ1NPPP/R1B2RK1 b kq - 0 1	black	f4 Ne4 O-O f3 c5	f5f4 g3e4 e8g8 f2f3 c6c5	14...f4!³ Turning the e2-knight and c1-bishop into bad pieces is much more important than giving away the e4-square. Black will later get coordinated with ...c6-c5 and ...Nc6. 14...0-0? allowed: 15.f4= 15.Ne4 15.Nf5 0-0 16.Nxe7+ Qxe7 17.f3 c5µ 15...0-0 16.f3 c5µ	Spielmann	Euwe	Wiesbaden	1925	Spielmann – Euwe, Wiesbaden 1925	44	44
25	priyome	public-education	rn1qkbnr/ppp2ppp/4p3/4N2b/2pP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 1	white	g4 Bg6 h4 f6 Qa4+ c6 Nxg6 hxg6 Qxc4	g2g4 h5g6 h2h4 f7f6 d1a4 c7c6 e5g6 h7g6 a4c4	6.g4! Bg6 7.h4 f6 White can exchange on g6 and attack on the light squares, but it’s more exact to start with Alekhine’s 8.Qa4+! as Black cannot respond with ...Nc6, ...Qd7 or ...Kf7. 8.h5 is also good. 8...c6 9.Nxg6 hxg6 10.Qxc4+– White is positionally winning. Alexander Alekhine “Playing on both sides of the board is my favourite strategy.”	Alekhine	Grünfeld	Semmering	1926	Alekhine – Grünfeld, Semmering 1926	45	45
26	priyome	public-education	r4rk1/pp1b2pp/2nqp3/2pp1p2/3P4/2PQPN2/PP2BPPP/R4RK1 b - - 0 1	black	c4	c5c4	13...c4!= Black gains space and will follow up by pushing the a- and b-pawns. This method of releasing the tension normally comes with the drawback of giving White a free hand to play in the centre with e3-e4, but that is not on the agenda here.	Kmoch	Alekhine	Semmering	1926	Kmoch – Alekhine, Semmering 1926	46	46
27	priyome	public-education	r2qk2r/pbpn1ppp/1p1ppn2/6B1/1bPP4/2NBP3/PPQ2PPP/R3K1NR w KQkq - 0 1	white	f3 c5 d5 exd5 cxd5 Qe7	f2f3 c7c5 d4d5 e6d5 c4d5 d8e7	8.f3! A nice set-up against the bishops on b7 and b4, both of which fight for the e4-square. 8.e4?! is risky when White is less than fully developed. Black obtains good counterplay with: 8...c5! 9.d5 exd5 10.cxd5 This is the only critical move, but 10...Qe7 leaves Black with an improved Benoni position because the bishop is well placed on b4.	Alekhine	Nimzowitsch	New York	1927	Alekhine – Nimzowitsch, New York 1927	46	46
28	priyome	public-education	3r2k1/pp1r1pp1/2p1pb2/5q1p/1PPP1P2/2B1Q3/P2R2PP/3R2K1 b - - 0 1	black	b5 c5 g5	b7b5 c4c5 g7g5	22...b5! Winning the d5-square for a heavy piece before White has time to interfere with a2-a4. 23.c5 Opening the c-file only helps Black, as the white rooks are busy defending the d-pawn. Kmoch tried 23.Qf3–+ but he lost a pawn and eventually the game. 23...g5µ Having obtained a dominant position, Black can set about creating a second weakness.	Kmoch	Alekhine	Kecskemet	1927	Kmoch – Alekhine, Kecskemet 1927	47	47
29	priyome	public-education	r3k2r/1bq1bppp/pp2pn2/2p5/3PPP2/2PB2N1/PB4PP/R2Q1RK1 b kq - 0 1	black	h5 c4 e5 h4	h7h5 c3c4 e6e5 h2h4	14...h5! Challenging the knight with extra force, as the e4-pawn is loose. There is no point in starting with 14...c4; it’s better to retain the option of ...cxd4. 15.Qe2 15.e5 gives Black the d5-square, but there is also 15...h4!?, leading to a line which is not especially relevant, but which may still be of interest to those who are curious: 16.exf6 hxg3 17.fxe7 Rxh2 18.Rf3! Kxe7 19.Rxg3 Qxf4 20.Qg4 (20.Kxh2? Rh8+–+) 20...Rxg2+ 21.Rxg2 Qe3+ 22.Kf1 Qxd3+³ The position is close to equal, but I slightly prefer Black’s chances with three pawns versus a piece. 15...h4 16.Nh1³ The knight can’t easily return to the game, as White needs to defend the f-pawn.	Bogoljubow	Alekhine	Germany/Netherlands (8)	1929	Bogoljubow – Alekhine, Germany/Netherlands (8) 1929	48	48
30	priyome	public-education	r3kb1r/3bqn1p/p1pp2p1/1p2pp2/1P2P3/3P1NN1/1PPBQPPP/R3K2R b KQkq - 0 1	black	f4	f5f4	16...f4µ Black gains space and avoids giving White a chance for exf5. Black will follow up by pushing the g-pawn.	Yates	Alekhine	San Remo	1930	Yates – Alekhine, San Remo 1930	48	48
